conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.99E+18,Tue Nov 25 13:55:26 +0000 2025,0,@leftsidehist @Megatron_ron Man it really depends on how dire situations are for the people - taking politics completely out of it. By any means necessary to answer your question directly,1.99E+18,,leftsidehist,en,,0,0,0,https://x.com/undefined/status/1993317606850212131,8.17E+17,
1.99E+18,Tue Nov 25 13:55:25 +0000 2025,0,$300 million is Chump Change for these Mega Corps give them a little plaque by the entrance and be done with it ! Dems move to set limits on Trump s donor-funded White House ballroom claiming bribery in plain sight https://t.co/cd9brVTdhY #FoxNews,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317603620925914,1.85E+18,
1.99E+18,Tue Nov 25 13:55:23 +0000 2025,0,@silentrob73 @Thefatgirl5 @tlloydjones If you are going to constantly criticise Labour don t be a coward and not even furnish us with who you vote for. If u don t vote u have no right to comment on politics. Part of Remembrance Day is remembering they died for the vote. If u r too ignorant to vote it says a lot 4 u.,1.99E+18,,silentrob73,en,,0,0,0,https://x.com/undefined/status/1993317596217720932,728961554,
1.99E+18,Tue Nov 25 13:55:22 +0000 2025,0,Reminds me of RFK Jr. defending TikTok because at least it s not full of CIA spies like Facebook. That touched on one of the foundational divides in our politics today (as well as the divide between the pathologically paranoid and the rest of us). Your answer to this question,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317590492500330,168531961,
1.99E+18,Tue Nov 25 13:55:20 +0000 2025,0,@Bayo_Bilisi You are living up to the Bilisi in your name. This politics and tribal thing wouldn't be the end of some of you,1.99E+18,,Bayo_Bilisi,en,,0,0,0,https://x.com/undefined/status/1993317581508284553,40635631,
1.99E+18,Tue Nov 25 13:55:20 +0000 2025,0,Philippine military says no junta in its ranks warns against destabilisation | South China Morning Post https://t.co/H5gZSlmwIL,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317581298581735,325493263,
1.99E+18,Tue Nov 25 13:55:18 +0000 2025,0,@claude_bone @John_A_Ridge No it s a byproduct of the U.S. politics not favoring people who are competent in foreign policy. Both parties have this problem.,1.99E+18,,claude_bone,en,,0,0,0,https://x.com/undefined/status/1993317575778816417,1.25E+18,
1.99E+18,Tue Nov 25 13:55:16 +0000 2025,0,@MumbaichaDon Politics: not a game and if it was it s for grown ups Fucking halfwits! ,1.99E+18,,MumbaichaDon,en,,0,0,0,https://x.com/undefined/status/1993317567554044115,1.87E+18,
1.99E+18,Tue Nov 25 13:55:15 +0000 2025,0,@Am3ricanIce It s the vinyls her new social network her silence on actual politics her shift into a traditional political position. It s more things that are damaging it and to deny it is to be blind,1.99E+18,,Am3ricanIce,en,,0,0,0,https://x.com/undefined/status/1993317560121536535,1.28E+18,
1.99E+18,Tue Nov 25 13:55:13 +0000 2025,0,@Adesuwa_G This goes to show they are more interested in politics. We need ambassadors to at least the G 20 countries first before then can come up with the other countries,1.99E+18,,Adesuwa_G,en,,0,0,0,https://x.com/undefined/status/1993317552731439203,608221886,
1.99332E+18,Tue Nov 25 13:54:20 +0000 2025,0,Fully expect to see migrants shopping like fuck this Christmas as we tighten our belts with the rising bills and taxes. Windfalls of £1000s for kids not of this nation and people that never gave a fucking penny towards our people. Fuck you @UKLabour https://t.co/G16FL8M06c,1.99332E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317332303986881,1.60079E+18,
1.99E+18,Tue Nov 25 13:55:08 +0000 2025,0,University of Minnesota site warns of a 'whiteness pandemic ' urges White parents to 're-educate' https://t.co/QjFKd8hY3x #FoxNews Wow Minnesota is even more bonkers than I thought possible. Look what they are selling to young white students. They are careful to say in a,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317533147893810,1.82E+18,
1.99E+18,Tue Nov 25 13:55:08 +0000 2025,0,I wonder how guys falls for these fake girl accounts who are peddling anti-India agenda. The moment a girl seems to divert from thirst traps movies songs relationship advice and appears to know a lot of world politics that should be enough a hint.,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317532007383347,1.52E+18,
1.99E+18,Tue Nov 25 13:55:08 +0000 2025,0,keeping up with politics is so hard bc on one hand I think it's important to be up to date on things going on around you. on the other hand you get at least 2 clips per day of chuds saying the stupidest shit known to man,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317531780628570,1.79E+18,
1.99E+18,Tue Nov 25 13:55:06 +0000 2025,0,@LaydyDragonfly I think politics today is based more on playing into voters feelings than achieving results. For the GOP it's making sure all the right people are hating by their voters. For the DNC it's making sure no one gets offended except the people who aren't going to vote Republican.,1.99E+18,,LaydyDragonfly,en,,0,0,0,https://x.com/undefined/status/1993317522284642637,243174343,
1.99E+18,Tue Nov 25 13:55:05 +0000 2025,0,@LailaGoodridge Honestly kinda refreshing to see something in politics that isn t influencer-rage marketing national-slogan cosplay or Christian-nation rally speeches. Actual policy beats the TikTok sermon circuits. More of this less of the culture-war open mic nights.,1.99E+18,,LailaGoodridge,en,,0,0,0,https://x.com/undefined/status/1993317518950211748,1.81E+18,
1.99E+18,Tue Nov 25 13:55:04 +0000 2025,0,Even more Curious! is that the people who scream about foreign interests buying off politicians when they theorize that it involves Jews are completely uninterested in Qatar spending billions of dollars openly to buy massive influence in American politics and culture.,1.99E+18,,sunnyright,en,,0,0,0,https://x.com/undefined/status/1993317517540930022,301108020,
1.99E+18,Tue Nov 25 13:55:04 +0000 2025,0,The Rote Zora also stood defiantly against broader sexist stigmas within leftist movements: the idea that women should focus on women s issues while men handled real politics. https://t.co/Ndb4PC9Zt9,1.99E+18,https://pbs.twimg.com/media/G6mviaPWMAEl5-3.jpg,hussedogru,en,,0,1,0,https://x.com/undefined/status/1993317517356339231,2746836785,
1.99E+18,Tue Nov 25 13:55:04 +0000 2025,2,If everybody in Michigan politics left and right can agree on throwing Shri Thanedar out of the club we can do some good in 2026 Who's in?,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317517075579363,1.18E+18,
1.99E+18,Tue Nov 25 13:55:02 +0000 2025,0,@alexottiofr has removed the seal. Good. But it doesn t erase the embarrassment. Everyone already saw your pettiness. A whole governor flexing power over what? Politics? This kind of politics shouldn t still be happening in 2025. https://t.co/hkRN9UitZC,1.99E+18,https://pbs.twimg.com/amplify_video_thumb/1993314761325391872/img/X-NA0cxsV5fqLyoz.jpg,alexottiofr,en,,0,0,0,https://x.com/undefined/status/1993317506711536100,2692101568,
1.99E+18,Tue Nov 25 13:55:01 +0000 2025,0,How X's new location feature exposed big US politics accounts - BBC News [ I m a proud Scottish independence campaigner based in err an Iranian bot farm ] Sow chaos and division 101 here.,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317503146049801,76333742,
1.99E+18,Tue Nov 25 13:54:59 +0000 2025,0,University of Minnesota site warns of a 'whiteness pandemic ' urges White parents to 're-educate' https://t.co/AjAMcIeiSC,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317495336583633,1.59E+18,
1.99E+18,Tue Nov 25 13:54:59 +0000 2025,0,@d123456bb We've heard that before. A plan for tax cuts for everyone. Which Farage then abandoned after the Institute of Fiscal Studies had ridiculed it for being unrealistic. Reform haven't got a clue https://t.co/ni289DZQZ4,1.99E+18,,d123456bb,en,,0,0,0,https://x.com/undefined/status/1993317494871015784,9.87E+17,
1.99E+18,Tue Nov 25 13:54:59 +0000 2025,0,@joeroganhq Why are members of a foreign nation commenting on our politics like this? It is becoming obscene.,1.99E+18,,joeroganhq,en,,0,0,0,https://x.com/undefined/status/1993317493071351843,3087779687,
1.99E+18,Tue Nov 25 13:54:58 +0000 2025,0,Seems like the only people mad about the new feature are the ones who are not in America but are so heavy in our politics ,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317492782141576,1.59E+18,
1.99E+18,Tue Nov 25 13:54:57 +0000 2025,0,@HighChiefOkoro The insecurity issue is very complex. Why ? It has religious hands ethics politics and it stands as a source of income for others. lastly it has indigenous leaders backup. May God help the President. The day that a mad person realizes he/she is mad the madness gone .,1.99E+18,,HighChiefOkoro,en,,0,0,0,https://x.com/undefined/status/1993317486855418094,1.53E+18,
1.99E+18,Tue Nov 25 13:54:56 +0000 2025,0,@so_phieC Depends on the Context of the tweet. A bunch of foreign accounts trying to sway US Politics? Yeah. It matters.,1.99E+18,,so_phieC,en,,0,0,0,https://x.com/undefined/status/1993317481348247746,15485307,
1.99E+18,Tue Nov 25 13:54:51 +0000 2025,0, If you were born or raised in the United States you have grown up in the Whiteness Pandemic and you can play a role in halting and reversing this pandemic especially if you are White because of the power and privilege you hold https://t.co/2jEWtb6omh,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317461454975269,1.68E+18,
1.99E+18,Tue Nov 25 13:54:49 +0000 2025,0,Every bad current within the Left can be viewed as the price paid for some other bad current. Political correctness was a manifestation of postmodernism which was a reaction to another set of bad politics. -Noel Ignatiev https://t.co/c71rLrWSEo Thoughts? https://t.co/J21DrDqDjO,1.99E+18,https://pbs.twimg.com/media/G6mvpqeXEAAPxZ9.jpg,,en,,0,0,0,https://x.com/undefined/status/1993317454588633247,462885794,
1.99E+18,Tue Nov 25 13:54:49 +0000 2025,0,@SRAikenUUP @sinnfeinireland Whether it is acting as a cheerleader for mass slaughter systematic repression &amp; land grabbing in Palestine gleefully engaging in infantile culture war politics or respouting the bigoted agenda of the TUV Steve Aiken has form.,1.99E+18,,SRAikenUUP,en,,0,0,0,https://x.com/undefined/status/1993317452353356282,1625661193,
1.99E+18,Tue Nov 25 13:54:47 +0000 2025,0,University of Minnesota site warns of a 'whiteness pandemic ' urges White parents to 're-educate' https://t.co/uCrYb9sXUc #FoxNews,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317446632051154,459552184,
1.99E+18,Tue Nov 25 13:54:47 +0000 2025,1,It was Zulfiqar Ali Bhutto's sons who were leading a resistance movement ALZULFIQAR against General Zia UK Haq.... Imran khan is doing politics in Pakistan but doesn't know that in difficult times it's one's own family not others who come for help..,1.99E+18,,,en,,0,0,0,https://x.com/undefined/status/1993317443855434071,932406570,
1.99E+18,Tue Nov 25 13:54:47 +0000 2025,0,@SDSUgrad1983 @AAGDhillon @TheJusticeDept @realDonaldTrump I agree that Democrats are to blame. However politics does not wait and there's an election coming. The base will not turn out. Then what?,1.99E+18,,SDSUgrad1983,en,,0,0,0,https://x.com/undefined/status/1993317443067167134,1392607532,
1.99E+18,Tue Nov 25 13:54:20 +0000 2025,0,@jenkin75588 @legitleavitt @dalepartridge You must be an idiot separation of church and state means the church shouldn t have any political power or any influence in our politics but guess what it does meaning there isnt a separation from state and church if the church is white lmao cant forget about the prejudice,1.99E+18,,jenkin75588,en,,0,0,0,https://x.com/undefined/status/1993317330152309088,1.44E+18,
